x0,y0,x1,y1,w,h,diff_fill,changed,alpha,white,dark,id
3196,6,3446,121,250,115,0.8896,25576,9245,5982,3043,0
3450,32,3526,151,76,119,0.949,8583,5188,2163,2735,1
3801,35,3927,102,126,67,0.9964,8412,4561,1855,2536,2
3530,70,3605,186,75,116,0.9575,8330,5002,1993,2798,3
3609,70,3684,186,75,116,0.9992,8693,4808,1906,2746,4
4000,78,4067,202,67,124,0.9995,8304,4858,1874,2798,5
3688,87,3758,209,70,122,0.9603,8201,4856,1805,2682,6
3832,108,3899,234,67,126,0.9723,8208,4967,1971,2870,7
3247,139,3430,230,183,91,0.9106,15164,9767,2986,5427,8
3526,190,3616,290,90,100,0.9982,8984,4419,1912,2329,9
3976,206,4093,277,117,71,0.9949,8265,5020,1828,2992,10
3620,213,3733,290,113,77,0.9814,8539,4696,1855,2678,11
3737,238,3848,315,111,77,1.0,8547,4589,1809,2587,12
3093,247,3184,337,91,90,0.3757,3077,4267,406,3673,13
3852,281,3979,347,127,66,0.9982,8367,4806,1916,2679,14
3983,282,4067,381,84,99,0.937,7792,4349,1478,2735,15
3624,319,3748,389,124,70,0.9949,8636,5028,1846,3003,16
3752,351,3872,422,120,71,0.981,8358,4951,1940,2669,17
3348,369,3473,439,125,70,0.9757,8537,5132,1983,2784,18
3477,377,3597,452,120,75,0.9826,8843,5032,1829,2945,19
3876,385,3994,456,118,71,0.9799,8210,4960,1846,2888,20
3998,386,4075,484,77,98,0.9282,7004,4269,1511,2619,21
3694,426,3816,497,122,71,0.9619,8332,4964,1807,2808,22
3443,456,3515,581,72,125,0.9648,8683,5033,1809,2849,23
3820,460,3932,536,112,76,0.9987,8501,4530,1856,2496,24
3519,484,3591,607,72,123,0.9774,8656,4963,1808,2815,25
3936,488,4054,559,118,71,0.9759,8176,4811,1845,2735,26
3595,496,3670,614,75,118,0.9441,8355,5301,2138,2844,27
3674,501,3745,624,71,123,0.9533,8325,4911,1807,2751,28
3132,513,3316,648,184,135,0.969,24070,11503,601,10354,29
3749,540,3819,662,70,122,0.9643,8235,4891,1808,2757,30
3320,547,3403,657,83,110,0.9714,8869,5274,1576,2963,31
3823,550,3899,662,76,112,0.9834,8371,4886,1708,2990,32
3976,563,4044,686,68,123,0.9677,8094,4852,1860,2766,33
3407,585,3483,704,76,119,0.9444,8541,5157,2163,2667,34
3487,611,3576,712,89,101,0.9869,8871,4498,1872,2482,35
3580,618,3655,736,75,118,0.9892,8754,5137,2139,2810,36
2430,646,2579,719,149,73,0.9677,10526,6010,2018,3470,37
2583,646,2768,756,185,110,0.8273,16835,6407,1609,4141,38
2965,652,3146,774,181,122,0.9326,20594,10501,307,9884,39
3240,661,3321,774,81,113,0.9962,9118,4617,1896,2554,40
3745,666,3860,742,115,76,0.9832,8593,5609,1864,3145,41
3864,690,3982,762,118,72,0.9814,8338,4962,1846,2892,42
3986,690,4090,769,104,79,0.9825,8072,4847,2253,2422,43
3325,708,3448,782,123,74,0.9946,9053,5324,1920,3197,44
3452,716,3571,792,119,76,0.935,8456,5139,2160,2706,45
3575,740,3693,816,118,76,0.9676,8677,4848,1681,2985,46
3813,766,3931,840,118,74,0.9801,8558,4905,1853,2821,47
2989,812,3138,964,149,152,0.9473,21455,9179,294,8823,48
3465,820,3590,892,125,72,0.9982,8984,4851,1810,2818,49
3594,829,3719,900,125,71,0.9899,8785,4816,1933,2687,50
3723,844,3845,916,122,72,0.9664,8489,4933,1813,2774,51
3849,846,3965,921,116,75,0.9814,8538,4796,1906,2747,52
3969,888,4032,1016,63,128,0.9882,7969,4934,1784,2915,53
3349,896,3474,969,125,73,0.9719,8869,5000,1808,2825,54
3478,904,3603,976,125,72,0.9981,8983,4874,1809,2842,55
3607,920,3727,994,120,74,0.9998,8878,4735,1905,2623,56
3731,925,3854,996,123,71,0.9555,8344,4900,1808,2760,57
2417,941,2631,1057,214,116,0.9907,24593,5422,1964,3252,58
2828,968,2989,1110,161,142,0.8839,20207,10145,551,9227,59
3341,973,3456,1053,115,80,0.9767,8986,4907,1854,2917,60
3460,980,3585,1053,125,73,0.9763,8909,5023,1808,2816,61
3589,998,3714,1070,125,72,0.9809,8828,4928,1921,2782,62
3718,1000,3841,1072,123,72,0.9711,8600,4970,1805,2789,63
3845,1020,3973,1083,128,63,0.9909,7991,4954,1786,2938,64
3085,1030,3181,1129,96,99,0.9983,9488,4652,1983,2462,65
3185,1055,3302,1136,117,81,0.9706,9198,5565,2144,3119,66
3306,1057,3422,1137,116,80,0.9874,9163,4834,1820,2828,67
3426,1057,3538,1140,112,83,0.9593,8918,5235,1899,3119,68
3542,1074,3667,1147,125,73,0.9703,8854,4992,1808,2802,69
3671,1076,3796,1148,125,72,0.974,8766,5019,1810,2809,70
3800,1087,3921,1154,121,67,0.9698,7862,4694,1841,2639,71
2472,1088,2643,1267,171,179,0.9385,28728,16099,289,15739,72
3103,1140,3220,1221,117,81,0.9786,9274,5180,2076,2921,73
3346,1144,3463,1223,117,79,0.9936,9184,4758,1876,2685,74
3467,1151,3592,1224,125,73,0.9723,8872,5011,1810,2844,75
3596,1152,3716,1228,120,76,0.9308,8489,5041,2161,2624,76
2972,1213,3066,1316,94,103,0.998,9663,4784,1979,2623,77
3372,1228,3497,1301,125,73,0.9664,8818,4969,1808,2821,78
3501,1232,3626,1305,125,73,0.973,8879,5049,1808,2894,79
2693,1274,2860,1409,167,135,0.9486,21386,10847,614,9679,80
2864,1291,2946,1413,82,122,0.9681,9685,5574,2196,3200,81
3573,1367,3698,1432,125,65,0.999,8117,4867,1860,2795,82
3124,1392,3249,1469,125,77,0.9689,9326,5053,2113,2628,83
3253,1394,3377,1469,124,75,0.9998,9298,5009,1855,2952,84
3381,1397,3506,1470,125,73,0.9981,9108,4853,1810,2823,85
2073,1413,2130,1503,57,90,0.5593,2869,3724,121,3548,86
2637,1413,2804,1548,167,135,0.975,21981,10611,601,9461,87
2808,1417,2885,1547,77,130,0.9885,9895,5342,1576,3301,88
3510,1436,3635,1501,125,65,0.9986,8114,4867,1860,2799,89
2889,1449,2968,1574,79,125,0.9947,9823,5264,1963,3129,90
3067,1473,3146,1595,79,122,0.9357,9018,5100,1962,2966,91
3232,1473,3362,1533,130,60,0.9701,7567,4973,1908,2811,92
3150,1495,3228,1618,78,123,0.9952,9548,4887,1894,2813,93
3232,1537,3313,1655,81,118,0.9824,9390,5537,2140,3125,94
3317,1540,3400,1655,83,115,0.9995,9540,4785,1894,2728,95
1881,1548,2065,1640,184,92,0.9607,16262,10691,360,9936,96
2808,1551,2885,1681,77,130,0.9994,10004,5107,1895,3004,97
2635,1552,2804,1649,169,97,0.9754,15989,6168,1755,4206,98
2447,1556,2631,1647,184,91,0.9167,15350,9265,3585,4512,99
3492,1574,3554,1705,62,131,0.9903,8043,5034,1924,2904,100
2889,1578,2970,1700,81,122,0.9503,9391,5274,2090,2864,101
3558,1582,3621,1710,63,128,0.9882,7969,4974,1784,2962,102
2974,1591,3055,1712,81,121,0.9982,9783,4921,1853,2879,103
3059,1599,3140,1720,81,121,0.9497,9308,5238,2091,2829,104
2055,1647,2276,1767,221,120,0.8027,21288,6040,3006,2893,105
2280,1651,2477,1780,197,129,0.8551,21730,7577,4518,2557,106
2481,1653,2649,1782,168,129,0.9844,21333,5984,1917,3821,107
3323,1676,3405,1792,82,116,0.9878,9396,5488,2143,3085,108
2736,1685,2815,1812,79,127,0.9675,9707,5420,1962,3257,109
2819,1704,2901,1826,82,122,1.0,10004,4778,1879,2768,110
3409,1707,3473,1835,64,128,0.9998,8190,4958,1825,2890,111
3477,1709,3542,1835,65,126,0.9984,8177,4901,1860,2837,112
3546,1714,3609,1842,63,128,0.9885,7971,4954,1786,2942,113
2905,1716,2986,1838,81,122,0.9505,9393,5320,2074,2871,114
2990,1724,3071,1845,81,121,0.9496,9307,5237,2090,2811,115
3075,1751,3161,1864,86,113,0.9772,9496,5662,1876,3530,116
3165,1765,3248,1881,83,116,0.9997,9625,5072,1787,3158,117
2489,1788,2649,1906,160,118,0.8762,16542,6736,3767,2697,118
2653,1816,2750,1921,97,105,0.9955,10139,5202,1799,3202,119
2754,1830,2833,1957,79,127,0.9842,9874,4849,1966,2707,120
3350,1839,3475,1905,125,66,0.9992,8243,4877,1863,2814,121
2837,1842,2924,1957,87,115,0.9848,9853,4879,1816,2878,122
3479,1846,3596,1916,117,70,0.9477,7762,4888,1956,2820,123
2928,1849,3009,1971,81,122,0.9471,9359,5248,2088,2829,124
3013,1868,3092,1991,79,123,0.992,9639,5273,1918,3172,125
3096,1885,3181,1999,85,114,0.9832,9527,4762,1825,2765,126
3185,1902,3265,2022,80,120,0.9996,9596,4636,1964,2525,127
3269,1906,3335,2031,66,125,0.9981,8234,4889,1830,2829,128
3339,1909,3405,2034,66,125,0.9989,8241,4879,1863,2820,129
2293,1910,2461,2040,168,130,0.9044,19753,9580,502,8674,130
2114,1917,2289,2035,175,118,0.9671,19970,10784,274,10215,131
3409,1920,3476,2043,67,123,0.9954,8203,4847,1855,2784,132
2726,1961,2848,2044,122,83,0.9999,10125,4886,1861,2866,133
3480,1969,3543,2097,63,128,0.9882,7969,4972,1785,2960,134
2852,1975,2939,2090,87,115,0.9639,9644,5132,1758,3195,135
2943,1995,3024,2117,81,122,0.9507,9395,5276,2090,2866,136
3028,2003,3109,2123,81,120,0.9928,9650,4826,1886,2784,137
1730,2025,1966,2143,236,118,0.9687,26977,5207,449,4487,138
3113,2026,3198,2140,85,114,0.9764,9461,4809,1825,2809,139
3202,2035,3267,2162,65,127,0.978,8073,4955,1861,2888,140
3271,2038,3337,2163,66,125,0.9703,8005,4895,1830,2812,141
2160,2044,2338,2158,178,114,0.9445,19165,9277,1830,6840,142
2342,2044,2499,2165,157,121,0.9719,18463,5408,2485,2796,143
3341,2047,3411,2165,70,118,0.9808,8101,4858,1848,2794,144
2727,2094,2855,2173,128,79,0.9652,9760,5398,1963,3237,145
3415,2101,3543,2165,128,64,0.9839,8060,4952,1882,2851,146
2859,2121,2987,2199,128,78,0.9846,9830,4907,1888,2857,147
1119,2138,1249,2199,130,61,0.9734,7719,4899,1896,2799,148
1443,2140,1628,2244,185,104,0.9647,18560,11807,383,10990,149
3081,2144,3162,2264,81,120,0.9828,9553,4867,1931,2779,150
1819,2157,2005,2245,186,88,0.9368,15334,11146,334,10391,151
3166,2166,3234,2288,68,122,0.9802,8132,5171,1840,3166,152
2629,2177,2748,2279,119,102,0.9904,12021,5703,2141,3364,153
2752,2203,2880,2282,128,79,0.9585,9692,5487,1963,3324,154
3282,2232,3362,2281,80,49,0.6158,2414,3214,1933,1144,155
1379,2248,1507,2318,128,70,0.9983,8945,5146,1985,2933,156
1511,2248,1637,2318,126,70,0.9947,8773,5009,1918,2824,157
1774,2249,1901,2318,127,69,0.9917,8690,4893,1890,2831,158
1641,2250,1770,2318,129,68,0.9938,8718,5018,1887,2932,159
1905,2250,2030,2323,125,73,0.9982,9109,4869,1808,2835,160
2034,2251,2159,2324,125,73,0.9982,9109,4834,1808,2796,161
3503,2265,3632,2326,129,61,0.9823,7730,4974,1941,2801,162
2585,2283,2709,2381,124,98,0.9911,12044,4976,1844,2900,163
2713,2286,2815,2400,102,114,0.9842,11444,5542,1837,3536,164
3145,2292,3267,2360,122,68,0.9998,8294,4867,1854,2810,165
1379,2322,1613,2457,234,135,0.9529,30103,13106,500,12106,166
1617,2322,1777,2469,160,147,0.8605,20239,10283,292,9929,167
1781,2327,1937,2475,156,148,0.9969,23017,4428,1888,2388,168
2819,2328,2947,2407,128,79,0.9993,10105,5461,1986,3311,169
3405,2330,3534,2391,129,61,0.9762,7682,4878,1878,2793,170
2951,2351,3074,2432,123,81,0.9481,9446,5263,2096,2807,171
3078,2364,3145,2488,67,124,0.9994,8303,4921,1860,2863,172
3279,2395,3340,2525,61,130,0.9892,7844,4961,1896,2891,173
3409,2401,3473,2525,64,124,0.9719,7713,4824,1936,2703,174
2724,2411,2825,2526,101,115,0.9312,10816,4476,1529,2747,175
3552,2420,3615,2545,63,125,0.999,7867,4593,1945,2487,176
2912,2436,2991,2563,79,127,0.9646,9678,4907,1957,2810,177
1374,2461,1593,2595,219,134,0.98,28758,9934,717,8821,178
1957,2480,2105,2611,148,131,0.9834,19066,8705,292,8351,179
3078,2492,3145,2616,67,124,0.9995,8304,4845,1872,2793,180
2382,2498,2492,2619,110,121,0.9693,12902,6394,2412,3622,181
3218,2529,3346,2588,128,59,0.9616,7262,4897,1907,2830,182
3350,2529,3476,2588,126,59,0.9687,7201,4777,1887,2724,183
2609,2530,2737,2622,128,92,0.9997,11773,6214,2329,3715,184
2741,2558,2843,2667,102,109,0.9904,11011,6076,1808,4076,185
1179,2599,1419,2724,240,125,0.9559,28677,9804,218,9388,186
1423,2610,1610,2724,187,114,0.9831,20958,10348,1830,7892,187
1614,2612,1798,2724,184,112,0.9048,18646,6560,2359,3384,188
1802,2615,1972,2728,170,113,0.994,19095,7436,1920,5348,189
1976,2618,2134,2729,158,111,0.9521,16698,7636,1820,5186,190
3013,2620,3092,2746,79,126,0.9999,9953,5008,1897,2995,191
3096,2657,3160,2783,64,126,0.9993,8058,4836,1901,2762,192
3164,2657,3293,2717,129,60,0.9916,7675,4888,1899,2790,193
2717,2671,2819,2780,102,109,0.9901,11008,6062,1820,4059,194
3297,2679,3363,2799,66,120,0.9994,7915,4774,1849,2718,195
3367,2699,3427,2828,60,129,0.978,7570,5017,1907,2944,196
3431,2699,3491,2828,60,129,0.988,7647,5036,1893,2974,197
3495,2718,3555,2845,60,127,0.9706,7396,5161,1922,3008,198
3164,2721,3293,2783,129,62,0.9996,7995,5002,1861,2943,199
1159,2728,1290,2795,131,67,0.9786,8589,5317,2428,2370,200
1294,2728,1420,2802,126,74,0.9966,9292,5159,2036,2946,201
1424,2728,1548,2802,124,74,0.9662,8866,5031,1874,3011,202
1903,2733,2054,2829,151,96,0.9627,13956,6381,1788,4341,203
2908,2750,3039,2827,131,77,0.9943,10029,5112,1916,2987,204
2451,2752,2555,2866,104,114,0.9928,11771,6013,1788,4048,205
2559,2777,2685,2868,126,91,0.9909,11362,5430,1968,3295,206
2689,2784,2818,2870,129,86,0.997,11061,5148,1882,3033,207
3043,2787,3172,2864,129,77,0.9871,9805,5015,1886,2912,208
1020,2799,1258,2933,238,134,0.8498,27103,11703,303,11192,209
3176,2803,3305,2865,129,62,0.9712,7768,5034,2144,2611,210
1262,2806,1437,2941,175,135,0.9732,22992,10620,614,9454,211
1620,2829,1779,2951,159,122,0.8886,17237,6765,3651,2872,212
