x0,y0,x1,y1,w,h,diff_fill,changed,alpha,white,dark,id,v2_changed_pixels
3132,513,3316,648,184,135,0.969,24070,11503,601,10354,29,0
2965,652,3146,774,181,122,0.9326,20594,10501,307,9884,39,0
2989,812,3138,964,149,152,0.9473,21455,9179,294,8823,48,0
2828,968,2989,1110,161,142,0.8839,20207,10145,551,9227,59,0
2472,1088,2643,1267,171,179,0.9385,28728,16099,289,15739,72,0
2693,1274,2860,1409,167,135,0.9486,21386,10847,614,9679,80,0
2073,1413,2130,1503,57,90,0.5593,2869,3724,121,3548,86,0
2637,1413,2804,1548,167,135,0.975,21981,10611,601,9461,87,0
1881,1548,2065,1640,184,92,0.9607,16262,10691,360,9936,96,0
2293,1910,2461,2040,168,130,0.9044,19753,9580,502,8674,130,0
2114,1917,2289,2035,175,118,0.9671,19970,10784,274,10215,131,0
1730,2025,1966,2143,236,118,0.9687,26977,5207,449,4487,138,0
1443,2140,1628,2244,185,104,0.9647,18560,11807,383,10990,149,0
1819,2157,2005,2245,186,88,0.9368,15334,11146,334,10391,151,0
1379,2322,1613,2457,234,135,0.9529,30103,13106,500,12106,166,0
1617,2322,1777,2469,160,147,0.8605,20239,10283,292,9929,167,0
1374,2461,1593,2595,219,134,0.98,28758,9934,717,8821,178,0
1957,2480,2105,2611,148,131,0.9834,19066,8705,292,8351,179,0
1179,2599,1419,2724,240,125,0.9559,28677,9804,218,9388,186,0
1020,2799,1258,2933,238,134,0.8498,27103,11703,303,11192,209,0
1262,2806,1437,2941,175,135,0.9732,22992,10620,614,9454,211,0
1301,2954,1481,3083,180,129,0.9379,21779,9377,259,8803,228,0
1485,3017,1665,3126,180,109,0.8954,17567,7421,317,7030,238,0
1669,3024,1824,3139,155,115,0.9293,16564,10535,278,9935,239,0
1081,3063,1216,3246,135,183,0.9705,23977,11187,616,10012,247,0
1545,3143,1707,3253,162,110,0.9276,16529,9777,393,9026,255,0
1147,3348,1289,3503,142,155,0.883,19434,9329,415,8602,280,0
1486,3541,1614,3674,128,133,0.9821,16720,10221,409,9451,303,0
1139,3742,1272,3887,133,145,0.9647,18605,8509,295,7923,330,0
