atlas,source,x,y,w,h,alpha_pixels,head_pixels,body_pixels,eyes,changed_pixels
Knight.png,semantic_scan,3668,4,128,61,5061,1929,568,2,4368
Knight.png,semantic_scan,3531,5,131,63,4854,2161,685,2,4424
Knight.png,semantic_scan,3215,7,210,108,8965,2056,3772,2,7272
Knight.png,semantic_scan,3932,22,62,132,4654,1938,613,2,4122
Knight.png,semantic_scan,3448,33,77,117,5177,2184,416,2,4548
Knight.png,semantic_scan,3802,39,124,65,4551,1879,684,2,3989
Knight.png,semantic_scan,3533,71,74,114,4979,2021,862,2,4510
Knight.png,semantic_scan,3610,71,73,114,4782,2355,19,2,3523
Knight.png,semantic_scan,3998,76,71,128,4905,1912,716,2,4322
Knight.png,semantic_scan,3689,88,68,119,4837,1961,270,2,4323
Knight.png,semantic_scan,3760,104,67,132,5048,1900,514,2,4380
Knight.png,semantic_scan,3830,106,71,127,4970,1994,532,2,4395
Knight.png,semantic_scan,3248,137,169,92,9680,3137,3679,2,8670
Knight.png,semantic_scan,3904,157,70,119,5350,1958,496,2,4466
Knight.png,semantic_scan,3527,191,91,98,4422,1932,514,2,3885
Knight.png,semantic_scan,3974,207,121,72,5047,1853,580,2,4159
Knight.png,semantic_scan,3625,214,110,75,4680,1877,600,2,4059
Knight.png,semantic_scan,2533,236,228,96,11617,271,503,1,942
Knight.png,semantic_scan,3735,236,112,78,4577,1849,405,2,4042
Knight.png,semantic_scan,3073,244,99,116,5265,501,449,2,1291
Knight.png,semantic_scan,3415,260,89,104,5084,2000,661,2,4237
Knight.png,semantic_scan,3853,282,128,67,4813,2249,791,2,4287
Knight.png,semantic_scan,3981,283,84,97,4337,1493,433,2,3270
Knight.png,semantic_scan,3507,295,112,77,5388,2175,457,2,4612
Knight.png,semantic_scan,3622,320,125,68,5011,1868,339,2,4140
Knight.png,semantic_scan,3753,352,118,69,4927,2069,235,2,4420
Knight.png,semantic_scan,3349,370,123,68,5110,2142,252,2,4535
Knight.png,semantic_scan,3475,378,121,73,5015,2027,579,2,4472
Knight.png,semantic_scan,3877,383,116,75,4968,1892,496,2,4345
Knight.png,semantic_scan,3999,387,75,96,4252,1531,436,2,3235
Knight.png,semantic_scan,3599,391,90,100,4448,1870,591,2,3834
Knight.png,semantic_scan,3695,428,120,68,4945,1960,293,2,4372
Knight.png,semantic_scan,3349,445,92,97,4416,2075,539,2,3976
Knight.png,semantic_scan,3444,457,73,123,5023,1978,374,2,4544
Knight.png,semantic_scan,3821,463,110,75,4526,1882,429,2,4134
Knight.png,semantic_scan,3520,485,70,120,4944,1936,307,2,4351
Knight.png,semantic_scan,3937,489,116,72,4818,1896,432,2,4303
Knight.png,semantic_scan,3593,494,79,119,5322,2169,428,2,4594
Knight.png,semantic_scan,3675,502,69,120,4895,1969,261,2,4377
Knight.png,semantic_scan,3750,541,71,120,4880,1896,384,2,4236
Knight.png,semantic_scan,3821,548,77,116,4878,1740,870,2,4222
Knight.png,semantic_scan,3318,558,83,98,5232,1707,845,2,4352
Knight.png,semantic_scan,3904,564,67,121,4787,2245,485,2,4298
Knight.png,semantic_scan,3974,564,69,124,4844,1924,464,2,4295
Knight.png,semantic_scan,803,575,33,19,457,202,140,1,546
Knight.png,semantic_scan,3405,586,77,120,5152,2181,424,2,4577
Knight.png,semantic_scan,3581,616,73,119,5125,2160,525,2,4516
Knight.png,semantic_scan,3485,621,88,90,4546,1900,298,2,3953
Knight.png,semantic_scan,2658,647,108,108,6331,1705,1388,2,4575
Knight.png,semantic_scan,2428,648,133,70,5995,1863,1134,2,4667
Knight.png,semantic_scan,3238,662,68,114,4633,1933,497,2,4251
Knight.png,semantic_scan,3151,665,84,108,5880,2550,818,2,5004
Knight.png,semantic_scan,3743,667,119,77,5618,1802,1190,2,4613
Knight.png,semantic_scan,2111,689,142,232,18992,403,152,1,997
Knight.png,semantic_scan,3865,691,116,73,4968,1890,431,2,4319
Knight.png,semantic_scan,3984,691,108,77,4830,2281,358,2,4518
Knight.png,semantic_scan,3326,709,121,72,5301,1943,695,2,4498
Knight.png,semantic_scan,3450,717,120,77,5140,2181,361,2,4516
Knight.png,semantic_scan,3576,741,116,77,4842,1700,585,2,3905
Knight.png,semantic_scan,3698,747,113,77,5254,2120,256,2,4636
Knight.png,semantic_scan,3814,767,116,75,4905,1892,391,2,4284
Knight.png,semantic_scan,3937,774,120,70,4832,1890,376,2,4403
Knight.png,semantic_scan,3143,776,113,67,4465,726,988,1,2448
Knight.png,semantic_scan,3256,784,105,89,4467,1930,543,2,3893
Knight.png,semantic_scan,3367,798,96,96,4284,1862,400,2,3710
Knight.png,semantic_scan,3466,818,123,73,4841,1888,563,2,4339
Knight.png,semantic_scan,3595,830,123,72,4811,1961,539,2,4222
Knight.png,semantic_scan,3724,845,120,70,4900,1965,285,2,4390
Knight.png,semantic_scan,3850,847,114,73,4768,1919,683,2,4153
Knight.png,semantic_scan,3140,863,96,103,4790,2000,541,2,4141
Knight.png,semantic_scan,3242,876,101,91,4457,1932,544,2,3885
Knight.png,semantic_scan,694,880,74,25,1356,449,737,2,1812
Knight.png,semantic_scan,775,882,49,26,849,284,418,1,903
Knight.png,semantic_scan,3970,886,61,129,4925,1866,654,2,4366
Knight.png,semantic_scan,3350,897,123,71,4983,1955,372,2,4490
Knight.png,semantic_scan,3479,902,123,73,4867,1886,609,2,4356
Knight.png,semantic_scan,789,914,45,26,805,276,395,1,856
Knight.png,semantic_scan,3605,918,121,75,4729,1938,437,2,4236
Knight.png,semantic_scan,3733,923,120,72,4884,1910,395,2,4358
Knight.png,semantic_scan,2228,940,145,81,7225,2113,1592,2,5217
Knight.png,semantic_scan,2498,943,126,116,5393,1992,321,2,4028
Knight.png,semantic_scan,3859,949,101,66,4234,1715,604,2,3653
Knight.png,semantic_scan,3086,969,128,56,4728,1969,667,2,4132
Knight.png,semantic_scan,3339,971,119,81,4895,1867,372,2,4009
Knight.png,semantic_scan,3461,981,123,71,5001,1983,392,2,4560
Knight.png,semantic_scan,3719,1001,121,70,4947,1957,327,2,4381
Knight.png,semantic_scan,3590,1004,126,65,4909,1982,610,2,4317
Knight.png,semantic_scan,2994,1019,86,109,5159,1778,822,2,4403
Knight.png,semantic_scan,3846,1021,129,61,4943,1865,684,2,4400
Knight.png,semantic_scan,3086,1028,94,103,4648,2003,601,2,4040
Knight.png,semantic_scan,3304,1055,120,81,4834,1948,500,2,4034
Knight.png,semantic_scan,3183,1056,118,79,5548,2169,463,2,4633
Knight.png,semantic_scan,3424,1058,113,81,5221,1910,861,2,4073
Knight.png,semantic_scan,3672,1074,123,73,5010,1991,361,2,4580
Knight.png,semantic_scan,3543,1075,123,71,4970,1978,364,2,4523
Knight.png,semantic_scan,3798,1088,125,65,4681,1853,691,2,4105
Knight.png,semantic_scan,2821,1120,109,73,4415,1908,421,2,3804
Knight.png,semantic_scan,2973,1131,128,77,4778,1929,741,2,4215
Knight.png,semantic_scan,3104,1141,118,79,5194,2105,440,2,4484
Knight.png,semantic_scan,3225,1142,116,78,4784,1910,486,2,4017
Knight.png,semantic_scan,3347,1146,115,76,4724,1907,559,2,4263
Knight.png,semantic_scan,3468,1152,123,71,4990,1952,363,2,4503
Knight.png,semantic_scan,3594,1153,121,77,5037,2182,393,2,4547
Knight.png,semantic_scan,3721,1159,111,73,4515,1775,614,2,3834
Knight.png,semantic_scan,2973,1214,92,104,4764,2023,258,2,2744
Knight.png,semantic_scan,3068,1223,80,123,5097,1987,482,2,4476
Knight.png,semantic_scan,3373,1229,123,71,4953,1939,448,2,4518
Knight.png,semantic_scan,3502,1233,123,71,5030,1941,385,2,4502
Knight.png,semantic_scan,3631,1235,111,73,4515,1775,611,2,3834
Knight.png,semantic_scan,2153,1277,105,120,9381,5232,1292,2,9689
Knight.png,semantic_scan,3249,1282,92,108,5044,1988,568,2,4151
Knight.png,semantic_scan,3151,1285,86,105,4605,1835,395,2,3870
Knight.png,semantic_scan,2865,1289,80,123,5574,2232,336,2,4510
Knight.png,semantic_scan,3341,1306,112,79,5551,2121,135,2,2909
Knight.png,semantic_scan,3456,1307,112,88,5063,2128,174,2,4557
Knight.png,semantic_scan,2951,1318,77,126,4907,1970,593,2,4101
Knight.png,semantic_scan,3034,1352,88,112,4581,1930,610,2,3981
Knight.png,semantic_scan,3571,1368,126,66,4875,1912,505,2,4282
Knight.png,semantic_scan,3122,1390,126,78,5033,2146,475,2,4550
Knight.png,semantic_scan,3251,1395,125,76,5026,1879,487,2,4187
Knight.png,semantic_scan,3382,1398,123,71,4834,1884,617,2,4351
Knight.png,semantic_scan,2806,1418,71,131,5355,1754,533,2,4328
Knight.png,semantic_scan,3508,1437,126,66,4869,1909,537,2,4320
Knight.png,semantic_scan,2887,1447,80,126,5263,1992,543,2,4603
Knight.png,semantic_scan,2973,1464,89,109,6136,2544,1007,2,5160
Knight.png,semantic_scan,3065,1471,80,123,5097,1992,484,2,4494
Knight.png,semantic_scan,3233,1475,131,57,4950,1995,645,2,4392
Knight.png,semantic_scan,3367,1475,131,63,4854,2161,685,2,4403
Knight.png,semantic_scan,3148,1493,65,124,4895,1925,737,2,4482
Knight.png,semantic_scan,3501,1503,129,66,5064,1983,820,2,4386
Knight.png,semantic_scan,338,1534,272,313,32965,2229,327,2,5356
Knight.png,semantic_scan,3230,1535,82,119,5546,2172,441,2,4647
Knight.png,semantic_scan,3318,1538,81,116,4770,1914,585,2,4116
Knight.png,semantic_scan,2638,1550,133,101,6084,1796,1342,2,4722
Knight.png,semantic_scan,2806,1552,65,131,5103,1949,759,2,4596
Knight.png,semantic_scan,2448,1554,172,92,9190,3759,2867,2,8515
Knight.png,semantic_scan,3402,1558,81,116,4652,1858,288,2,3902
Knight.png,semantic_scan,3493,1575,59,129,5019,1969,700,2,4419
Knight.png,semantic_scan,2890,1579,78,117,5255,2203,190,2,4851
Knight.png,semantic_scan,3559,1580,61,129,4963,1861,656,2,4370
Knight.png,semantic_scan,2975,1592,79,122,4900,1884,484,2,4066
Knight.png,semantic_scan,3060,1600,78,116,5214,2212,176,2,4863
Knight.png,semantic_scan,3145,1623,78,126,4976,2303,1,2,3113
Knight.png,semantic_scan,2139,1648,115,118,5831,2056,1426,2,4911
Knight.png,semantic_scan,2278,1649,171,126,7448,2302,1960,2,4789
Knight.png,semantic_scan,2484,1654,156,130,5954,1939,687,2,4388
Knight.png,semantic_scan,3226,1657,92,106,4673,2010,614,2,4047
Knight.png,semantic_scan,3321,1674,83,117,5498,2178,356,2,4582
Knight.png,semantic_scan,2734,1683,83,128,5433,1992,519,2,4645
Knight.png,semantic_scan,2651,1686,80,125,4979,2566,438,2,4542
Knight.png,semantic_scan,2817,1705,83,119,4789,1898,368,2,4102
Knight.png,semantic_scan,3407,1708,68,129,4984,1874,466,2,4221
Knight.png,semantic_scan,3475,1710,66,124,4907,1907,557,2,4320
Knight.png,semantic_scan,3547,1712,61,129,4945,1867,624,2,4366
Knight.png,semantic_scan,2903,1714,81,120,5318,2227,207,2,4986
Knight.png,semantic_scan,2991,1725,78,116,5219,2240,171,2,4847
Knight.png,semantic_scan,3073,1752,90,114,5664,1894,942,2,4295
Knight.png,semantic_scan,3166,1766,71,114,5040,1803,843,2,4153
Knight.png,semantic_scan,2490,1789,136,116,6544,2010,1179,2,4875
Knight.png,semantic_scan,2334,1790,153,105,8601,2389,353,2,5047
Knight.png,semantic_scan,3253,1794,92,106,4664,2010,615,2,4049
Knight.png,semantic_scan,2654,1817,95,106,5186,1818,577,2,3958
Knight.png,semantic_scan,2752,1831,80,125,4832,1989,542,2,4101
Knight.png,semantic_scan,3351,1840,123,67,4860,1905,565,2,4309
Knight.png,semantic_scan,2838,1843,85,116,4865,1832,377,2,3950
Knight.png,semantic_scan,3477,1844,121,74,4897,1975,669,2,4286
Knight.png,semantic_scan,2929,1850,78,117,5229,2209,204,2,4785
Knight.png,semantic_scan,3011,1866,80,124,5273,1941,545,2,4341
Knight.png,semantic_scan,551,1884,151,76,7743,2142,1783,2,5534
Knight.png,semantic_scan,3097,1886,80,115,4752,1832,311,2,3959
Knight.png,semantic_scan,3186,1900,78,121,4614,1979,486,2,4148
Knight.png,semantic_scan,3270,1904,64,126,4875,1899,682,2,4360
Knight.png,semantic_scan,1703,1905,187,87,11167,3783,2,2,4277
Knight.png,semantic_scan,3337,1910,67,122,4860,1909,570,2,4308
Knight.png,semantic_scan,3410,1922,68,123,4831,1924,498,2,4285
Knight.png,semantic_scan,2625,1923,96,119,5549,1774,278,2,4189
Knight.png,semantic_scan,2727,1959,120,84,4869,2002,461,2,4079
Knight.png,semantic_scan,3481,1967,61,129,4964,1866,664,2,4395
Knight.png,semantic_scan,2850,1976,88,113,5118,1793,669,2,4140
Knight.png,semantic_scan,2944,1996,78,117,5254,2203,198,2,4849
Knight.png,semantic_scan,3029,2001,78,124,4824,1908,443,2,4054
Knight.png,semantic_scan,3114,2027,83,115,4800,1837,395,2,3970
Knight.png,semantic_scan,3206,2033,60,128,4940,1887,781,2,4281
Knight.png,semantic_scan,3272,2036,64,126,4882,1904,549,2,4431
Knight.png,semantic_scan,2524,2043,83,124,4911,1769,115,2,4013
