atlas,source,x,y,w,h,head_x,head_y,head_w,head_h,alpha_pixels,head_pixels,changed_pixels,matched,eyes,raw_eye_holes,attack,semantic,donor,mirror,angle,head_extent,scale,preserved_effect_pixels
Knight.png,v2_visible_yellow_head_green_eye_scan,3531,5,131,63,3588,14,43,37,17401,1335,4968,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1264,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3668,4,128,61,3717,16,41,40,16307,1146,5128,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1419,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3215,7,192,108,3268,47,43,42,16460,1434,7884,True,1,1,False,dash_or_horizontal_air,move_04,True,90.0,42.5,0.1836,1186
Knight.png,v2_visible_yellow_head_green_eye_scan,3802,39,124,65,3847,55,39,38,18277,1107,4725,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,38.5,0.1519,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3932,22,62,132,3941,64,39,38,20452,1148,4986,True,2,2,False,front_idle_or_focus,move_00,False,12.2,38.5,0.2206,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3533,71,74,114,3547,110,42,41,28017,1352,5129,True,1,1,False,walk,move_02,False,-12.66,41.5,0.1557,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3998,76,71,128,4007,114,41,40,20046,1287,5288,True,2,2,False,front_idle_or_focus,move_00,False,23.91,40.5,0.2335,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3689,88,68,119,3700,123,41,40,24560,1294,5124,True,2,2,False,front_idle_or_focus,move_00,False,11.84,40.5,0.2343,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3830,106,71,127,3845,142,43,42,26731,1434,5311,True,1,1,False,side_idle,move_01,True,6.19,42.5,0.194,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3760,104,67,132,3772,145,42,41,25197,1358,5323,True,2,2,False,front_idle_or_focus,move_00,False,11.7,41.5,0.2233,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3248,137,169,92,3284,155,51,49,18152,1975,9754,True,1,1,False,dash_or_horizontal_air,move_04,True,90.0,50.0,0.1805,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3527,191,91,98,3548,226,41,39,26377,1160,4429,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1652,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3974,207,121,72,4019,228,40,39,18123,1237,5302,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1706,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3625,214,110,75,3660,233,40,39,24512,1105,4724,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1703,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3735,236,112,78,3769,265,40,39,22463,1231,4680,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1702,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3415,260,89,104,3428,295,41,40,23478,1281,5397,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,40.5,0.1736,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3853,282,128,67,3898,297,44,42,26413,1424,4973,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,43.0,0.159,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3981,283,84,97,3996,298,35,34,20558,853,4372,True,1,1,True,down_attack,attack_04,False,0.0,34.5,0.1484,29
Knight.png,v2_visible_yellow_head_green_eye_scan,3073,244,99,116,3081,300,18,20,7408,257,5144,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,19.0,0.0777,164
Knight.png,v2_visible_yellow_head_green_eye_scan,2533,236,115,96,2537,303,15,14,9976,143,5906,True,1,1,False,dash_or_horizontal_air,move_04,True,90.0,14.5,0.0732,1173
Knight.png,v2_visible_yellow_head_green_eye_scan,3507,295,112,77,3545,314,44,42,27459,1464,5588,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,43.0,0.1737,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3622,320,125,68,3671,337,40,39,24652,1074,5349,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1599,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3753,352,118,69,3796,369,43,42,23924,1434,5197,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,42.5,0.1677,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3349,370,123,68,3392,383,44,43,20420,1496,5222,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,43.5,0.1523,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3475,378,121,73,3516,400,42,41,26801,1340,5197,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,41.5,0.1776,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3999,387,75,96,4009,401,36,35,16813,973,4717,True,1,1,False,side_idle,move_01,True,0.82,35.5,0.2092,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3877,383,116,75,3914,406,40,39,25192,1227,5072,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1699,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3599,391,90,100,3614,422,40,39,26107,1229,4892,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,39.5,0.17,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3695,428,120,68,3739,443,41,40,24239,1300,5059,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1548,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3349,445,92,97,3370,478,42,41,20633,1250,4435,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,41.5,0.1715,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3821,463,110,75,3846,486,41,39,24934,1250,5039,True,2,2,False,airborne_tilt,move_05,False,180.0,40.0,0.1958,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3444,457,73,123,3455,492,42,40,25594,1326,5272,True,2,2,False,front_idle_or_focus,move_00,False,11.62,41.0,0.237,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3937,489,116,72,3973,509,41,39,20792,1254,4976,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1717,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3520,485,70,120,3531,520,41,40,25375,1294,5165,True,2,2,False,front_idle_or_focus,move_00,False,12.04,40.5,0.2341,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3675,502,69,120,3686,537,42,40,24610,1326,5166,True,2,2,False,front_idle_or_focus,move_00,False,10.28,41.0,0.2369,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3750,541,71,120,3761,576,41,39,23407,1261,5090,True,2,2,False,front_idle_or_focus,move_00,False,13.22,40.0,0.2313,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3318,558,83,98,3334,585,39,37,19662,980,5242,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,38.0,0.1631,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3974,564,69,124,3985,601,41,40,20108,1285,4945,True,1,1,False,run,move_04,True,18.97,40.5,0.141,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3581,616,73,119,3601,650,44,43,24251,1496,5272,True,1,1,False,side_idle,move_01,True,2.22,43.5,0.1873,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3485,621,88,90,3497,653,40,39,25130,1095,4761,True,2,2,False,airborne_tilt,move_05,True,157.74,39.5,0.2366,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2428,648,133,70,2505,666,40,39,13019,1068,5599,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1701,626
Knight.png,v2_visible_yellow_head_green_eye_scan,3743,667,119,77,3806,690,40,39,28028,1240,5709,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1708,172
Knight.png,v2_visible_yellow_head_green_eye_scan,2658,647,108,108,2671,691,38,37,11057,1033,6490,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,37.5,0.1559,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3151,665,84,108,3156,691,48,47,26824,1761,6597,True,1,1,False,dash_or_horizontal_air,move_04,True,90.0,47.5,0.2035,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3238,662,68,114,3249,706,41,40,25909,1294,4960,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,40.5,0.1745,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3984,691,108,77,4012,710,45,44,18393,1562,5112,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,44.5,0.1799,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3865,691,116,73,3902,712,40,39,28181,1227,5098,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1699,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3326,709,121,72,3366,731,41,40,22671,1282,5518,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1737,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3450,717,120,77,3496,735,44,42,26336,1464,5392,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,43.0,0.1697,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3576,741,116,77,3625,759,38,37,23417,976,5233,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,37.5,0.1622,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3698,747,113,77,3733,769,43,42,26204,1434,5408,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,42.5,0.1838,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3143,776,113,67,3198,783,26,25,20465,438,4230,True,1,1,True,down_attack,attack_04,False,0.0,25.5,0.1064,235
Knight.png,v2_visible_yellow_head_green_eye_scan,3937,774,120,70,3981,789,41,39,19838,1250,4949,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1504,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3814,767,116,75,3851,790,40,39,26903,1227,5029,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1699,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3256,784,105,89,3283,811,40,39,26924,1199,4873,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,39.5,0.1679,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2111,735,137,186,2134,831,18,17,19584,239,16249,True,1,1,False,dash_or_horizontal_air,move_04,True,90.0,17.5,0.075,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3367,798,96,96,3392,835,40,39,24992,1127,5250,True,2,2,False,airborne_tilt,move_05,False,180.0,39.5,0.2371,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3466,818,123,73,3513,839,41,39,24630,1254,5052,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1718,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3595,830,123,72,3639,842,41,40,25380,1131,4969,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.142,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3724,845,120,70,3768,862,41,40,25282,1284,5073,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1629,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3850,847,114,73,3889,866,41,39,25861,1122,4933,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1724,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3140,863,96,103,3150,905,42,40,22538,1332,5112,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,41.0,0.177,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3242,876,101,91,3264,905,41,39,26270,1234,4882,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,40.0,0.1704,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3350,897,123,71,3397,915,41,40,26932,1284,5168,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1671,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3479,902,123,73,3526,923,41,39,25841,1254,5076,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1718,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3970,886,61,129,3980,924,41,40,15739,1300,4983,True,1,1,False,walk,move_03,True,8.66,40.5,0.1493,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3733,923,120,72,3777,942,41,40,25380,1284,5120,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1738,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3605,918,121,75,3641,943,42,40,24547,1320,4959,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,41.0,0.1762,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2228,940,145,81,2243,957,41,40,18426,1298,7398,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,40.5,0.1592,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3859,949,101,66,3904,965,37,36,21169,1056,4528,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,36.5,0.1509,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3086,969,128,56,3143,975,41,40,26746,1300,4775,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1167,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2498,943,126,116,2505,986,41,39,7700,1266,5683,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,40.0,0.1726,42
Knight.png,v2_visible_yellow_head_green_eye_scan,3461,981,123,71,3507,999,42,40,26713,1174,5166,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,41.0,0.165,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3339,971,119,81,3377,1003,40,39,27745,1235,4977,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1704,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3719,1001,121,70,3764,1018,41,40,25901,1142,5112,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1629,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3590,1004,126,65,3636,1020,41,40,26478,1300,5079,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.159,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3846,1021,129,61,3895,1030,41,40,20508,1292,5006,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1296,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2994,1019,86,109,3019,1045,41,40,20303,1300,5710,True,1,1,False,walk,move_03,False,-16.08,40.5,0.2043,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3086,1028,94,103,3103,1063,41,40,25496,1293,5022,True,1,1,False,dash_or_horizontal_air,move_04,True,90.0,40.5,0.1744,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3424,1058,113,81,3444,1072,41,40,27126,1258,5344,True,1,1,False,dash_or_horizontal_air,move_04,True,90.0,40.5,0.1466,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3183,1056,118,79,3227,1079,43,42,28349,1294,5771,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,42.5,0.1746,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3304,1055,120,81,3343,1086,41,40,27969,1161,4928,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1741,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3543,1075,123,71,3589,1093,42,40,26982,1316,5136,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,41.0,0.165,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3672,1074,123,73,3718,1094,42,40,26472,1316,5252,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,41.0,0.176,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3798,1088,125,65,3843,1104,40,39,19159,1117,4804,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,39.5,0.1568,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2821,1120,109,73,2859,1142,41,39,15592,1138,4679,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1723,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2973,1131,128,77,3004,1150,41,40,21459,1300,5178,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,40.5,0.1675,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3104,1141,118,79,3144,1157,43,42,23691,1353,5357,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,42.5,0.1658,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3468,1152,123,71,3515,1170,41,40,26338,1284,5179,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1671,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3225,1142,116,78,3263,1171,41,39,24636,1245,4854,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,40.0,0.1711,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3594,1153,121,77,3641,1171,44,42,26731,1464,5296,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,43.0,0.1697,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3347,1146,115,76,3377,1172,41,40,26374,1285,5409,True,2,2,False,airborne_tilt,move_05,False,180.0,40.5,0.2104,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3721,1159,111,73,3764,1176,39,38,19018,1152,4713,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,38.5,0.1581,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3373,1229,123,71,3420,1247,41,45,28348,1358,5181,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,43.0,0.1787,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3502,1233,123,71,3549,1251,41,40,23741,1284,5217,True,1,1,False,dash_or_horizontal_air,move_04,False,-90.0,40.5,0.1671,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3631,1235,111,73,3674,1252,39,38,16230,1152,4713,True,2,2,False,dash_or_horizontal_air,move_04,False,-90.0,38.5,0.1581,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2973,1214,92,104,2980,1253,42,41,21230,1355,5161,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,41.5,0.1785,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3068,1223,80,123,3085,1262,43,42,22934,1434,5852,True,1,1,False,side_idle,move_01,True,3.84,42.5,0.2412,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2153,1277,105,120,2170,1285,73,71,12312,3092,9782,True,1,1,False,side_idle,move_01,True,0.43,72.0,0.3162,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3249,1282,92,108,3259,1316,41,40,24308,1296,5283,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,40.5,0.1746,0
Knight.png,v2_visible_yellow_head_green_eye_scan,2865,1289,80,123,2874,1322,45,43,20538,1518,5862,True,1,1,False,run,move_04,True,21.92,44.0,0.18,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3151,1285,86,105,3162,1322,40,39,23776,1231,4947,True,2,2,False,dash_or_horizontal_air,move_04,True,90.0,39.5,0.1702,0
Knight.png,v2_visible_yellow_head_green_eye_scan,3456,1307,112,88,3492,1334,43,42,26875,1434,5545,True,1,1,False,airborne_tilt,move_05,False,180.0,42.5,0.2188,0
